Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,145.1,-107.7,90,top
C2,0.1uF,C_0402_1005Metric,137.62,-114.1,180,top
C3,0.1uF,C_0402_1005Metric,137.7,-115.7,180,top
C4,0.1uF,C_0402_1005Metric,147.2,-110.68,90,top
C5,0.1uF,C_0402_1005Metric,149.5,-117,0,top
C6,0.1uF,C_0402_1005Metric,138.4,-116.7,180,top
C7,0.1uF,C_0402_1005Metric,137.62,-113.1,180,top
C8,0.1uF,C_0402_1005Metric,148.6,-113.2,0,top
C9,1uF,C_0402_1005Metric,149.6,-118,0,top
C10,0.1uF,C_0402_1005Metric,143.7,-121.3,180,top
C11,0.1uF,C_0402_1005Metric,141.82,-121.3,180,top
C12,1uF,C_0402_1005Metric,146.2,-110.7,90,top
C13,10uF,C_0603_1608Metric,138.4,-88.025,-90,top
C14,10uF,C_0603_1608Metric,140.3,-91.3,180,top
C15,33pF,C_0402_1005Metric,139.8,-123.9,-90,top
C16,33pF,C_0402_1005Metric,145,-122.88,90,top
C17,0.1uF,C_0402_1005Metric,143.5,-107.75,0,top
C18,0.1uF,C_0402_1005Metric,144.48,-101.5,0,top
C19,10nF,C_0402_1005Metric,142.48,-101.5,0,top
C20,0.1uF,C_0402_1005Metric,141,-102.27,-90,top
C21,2.2uF,C_0402_1005Metric,139.75,-102.25,-90,top
D1,LED,LED_0603_1608Metric,146.4125,-94.5,0,top
D2,LED,LED_0603_1608Metric,147.1,-99,180,top
D3,LED,LED_0603_1608Metric,149.1125,-124.3,0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,143.5,-81,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,134.61,-79.87,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,152.39,-79.87,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,140.96,-127.89,90,top
R1,5.1K,R_0402_1005Metric,145.5,-87.2,-90,top
R2,5.1K,R_0402_1005Metric,143.2,-87.3,-90,top
R3,27,R_0402_1005Metric,144.2,-110.74,-90,top
R4,27,R_0402_1005Metric,145.2,-110.74,-90,top
R5,1K,R_0402_1005Metric,139.9,-121.3,0,top
R6,10K,R_0402_1005Metric,140.31,-100.3,180,top
R7,1K,R_0402_1005Metric,139.3,-106.5,0,top
R8,680,R_0402_1005Metric,149.025,-94.58,180,top
R9,680,R_0402_1005Metric,147.1,-97.6,180,top
R10,680,R_0402_1005Metric,149.5,-122.9,0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,147.5,-91.5,0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,143.5,-116,0,top
U2,MCP1700x-330xxTT,SOT-23,141,-88.4375,90,top
U3,W25Q128JVS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,140.25,-108.5,0,top
U4,ICM-20602,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,143.5,-104,0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,142.4,-123.5,180,top